THE_TE_UID,TERM,INDEX_TERM,SCOPE_NOTE,CLA_GR_UID,STATUS,IMAGE_EXISTS
68761,"Ceremonial Arch",N,"Use both terms.",1,N,"-"
68762,"COAT OF ARMS",Y,"Includes crests, hatchments and supporters.",1,P,"-"
68763,"Commemorative Arch",N,"Use both terms.",1,N,"-"
68764,"Commemorative Column",N,"Use both terms.",1,N,"-"
68765,"COMMEMORATIVE MONUMENT",Y,"A building, structure or landscape created to commemorate a person or event.",1,P,"-"
68766,"DATE STONE",Y,"A stone commemorating the date of a specific event.",1,P,"-"
68767,"DEDICATION STONE",Y,"A commemorative stone inscribed with a dedicatory inscription to a person or event.",1,P,"-"
68768,"HILL FIGURE",Y,"A giant figure of a man, animal or symbol carved on chalk hillsides mainly in southern England.",1,P,"-"
68769,"HISTORICAL SITE",Y,"Site with important historical association.",1,P,"-"
68770,"Memorial",N,"-",1,N,"-"
68771,"WAR MEMORIAL",Y,"A structure, building or site commemorating soldiers and civilians killed in war.",1,P,"-"
68772,"Monumental Arch",N,"Use both terms.",1,N,"-"
68773,"NAMED TREE",Y,"A tree named after a person or event associated with it, e.g. Byron's Oak at Newstead.",1,P,"-"
68774,"OBELISK",Y,"A tall, tapering pillar with a pyramidal top, generally square on plan. Used in England from the late 16th century as a public, funerary or garden monument.",1,P,"-"
68775,"STATUE",Y,"A representation in the round of a living being, allegorical personage, eminent person or animal, etc, sculptured, moulded or cast in marble, metal, plaster, etc.",1,P,"-"
68776,"TRIUMPHAL ARCH",Y,"A large free-standing arch erected to commemorate a triumph or victory.",1,P,"-"
68777,"COMMERCIAL",N,"Sites, buildings, structures & features related to the sale, exchange &/or storage of goods or services. Includes commercially operated catering establishments & lodging premises.",1,P,"-"
68778,"ASSAY OFFICE",Y,"A building for the weighing or testing of metals, eg. at a mine site.",1,P,"-"
68779,"BAKERY",Y,"A commercial bakery or bread factory. If domestic use BAKEHOUSE.",1,P,"-"
68781,"CAFE",Y,"A cheap eating and drinking establishment usually serving snacks and non-alcoholic drinks.",1,P,"-"
68782,"CHANDLERY",Y,"Traditionally the premises of a chandler, a maker and seller of candles. Now, a shop for the retail of groceries and other provisions.",1,P,"-"
68783,"CLOTH HALL",Y,"A market hall where cloth merchants can show their wares and conduct business.",1,P,"-"
68784,"COFFEE HOUSE",Y,"An establishment serving coffee and other refreshments and inexpensive foods. Between the 17th and 18th centuries they were also meeting places for political discussions.",1,P,"-"
68785,"COUNTING HOUSE",Y,"An accounts office, especially within an industrial or commercial complex.",1,P,"-"
68786,"EXCHANGE",Y,"A multi-purpose commercial building, used primarily as a trading place for merchants, but also incorporating shops, public offices, guildhalls, etc.",1,P,"-"
68787,"CORN EXCHANGE",Y,"A building where samples of corn were sold or auctioned during the early to mid 19th century. When not in use, between market days, the buildings were used as public halls.",1,P,"-"
68788,"STOCK EXCHANGE",Y,"A building which provides the centralized market for trading in stocks and shares and for raising capital for industry.",1,P,"-"
68789,"FAIR",Y,"A site where a periodical gathering of buyers, sellers and entertainers, meet at a time ordained by charter or statute or by ancient custom.",1,P,"-"
68790,"FISH STONE",Y,"A stone slab, raised on stone or wooden piers, used for the display of fresh fish. Usually found in market places.",1,P,"-"
